id,Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,PosSent,NegSent,CompoundSent,Repetitiveness,SpotifyID,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
1,100,how deep is your love,calvin harris and disciples,2015,75,370,True,0.324,0.028,0.9994,0.797,22mek4IiqubGD9ctzxc69s,0.738,0.868,11,-4.373,0,0.0731,0.0389,0.00171,0.388,0.336,122.003,212640
2,98,night changes,one direction,2015,103,289,True,0.027,0.101,-0.9628,0.644,5O2P9iiztwhomNh8xkR9lJ,0.672,0.52,8,-7.747,1,0.0353,0.859,0.0,0.115,0.37,120.001,226600
3,99,back to back,drake,2015,222,525,True,0.174,0.085,0.9946,0.577,5lFDtgWsjRJu8fPOAyJIAK,0.635,0.472,8,-3.869,0,0.511,0.00898,0.0,0.117,0.373,174.008,170638
4,96,el perdon,nicky jam and enrique iglesias,2015,115,372,False,0.01,0.213,-0.9974,0.691,unknown,,,,,,,,,,,,
5,95,waves,mr probz,2015,58,126,False,0.141,0.019,0.9072,0.54,unknown,,,,,,,,,,,,
6,94,here,alessia cara,2015,187,465,True,0.14,0.101,0.9689,0.598,1wYZZtamWTQAoj8B812uKQ,0.376,0.821,0,-3.974,1,0.104,0.0785,0.0,0.0823,0.331,120.462,199453
7,93,ghost,ella henderson,2015,116,422,True,0.102,0.255,-0.9978,0.725,2FiceoWDJ67rrmb5tGBpgE,0.682,0.836,9,-3.777,1,0.0425,0.0464,3.13e-06,0.0797,0.485,104.987,216107
8,92,dont,ed sheeran,2015,219,588,True,0.175,0.091,0.9959,0.628,unknown,,,,,,,,,,,,
9,91,heartbeat song,kelly clarkson,2015,106,406,True,0.091,0.015,0.9808,0.739,7FC9Lng8iXU081lbigu8m8,0.49,0.798,6,-3.66,1,0.0489,0.0137,0.0,0.0627,0.479,149.109,198733
10,90,chandelier,sia,2015,115,265,True,0.123,0.053,0.9594,0.566,2s1sdSqGcKxpPr5lCl7jAV,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,216120
11,89,budapest,george ezra,2015,76,227,True,0.155,0.067,0.9772,0.665,7q0aQpiLv5tIsupcgQ3Ny4,0.717,0.455,5,-8.303,1,0.0276,0.0846,0.0,0.11,0.389,127.81,200733
12,88,blessings,big sean featuring drake,2015,331,881,True,0.215,0.101,0.9989,0.624,1bzM1cd6oqFozdr4wK6HdR,0.789,0.621,10,-7.685,0,0.283,0.315,0.0,0.136,0.158,118.891,252040
13,87,kick the dust up,luke bryan,2015,124,321,True,0.1,0.0,0.9826,0.614,5g15o2Sm55Hn9ShK5yEXgp,0.596,0.855,1,-2.255,1,0.0474,0.197,0.0,0.11,0.811,172.082,190587
14,86,ayo,chris brown and tyga,2015,212,600,True,0.194,0.21,-0.9806,0.647,0k6DnZMLoEUH8NGD5zh2SE,0.823,0.563,6,-5.095,1,0.0443,0.0399,0.0,0.0851,0.682,98.031,225227
15,97,she knows,neyo featuring juicy j,2015,,,,,,,,7seTcUFOhn5caSDbiSfsp0,0.706,0.572,8,-5.799,0,0.0326,0.0262,0.0,0.585,0.574,139.982,214726
16,84,downtown,macklemore and ryan lewis featuring eric nally melle mel kool moe dee and grandmaster caz,2015,301,699,True,0.124,0.095,0.9521,0.569,4kY7rYtE4OQkJNq22OIYRI,0.532,0.825,9,-5.287,1,0.0468,0.18,0.0,0.296,0.96,169.961,195867
17,83,hit the quan,ilovememphis,2015,168,452,True,0.082,0.126,-0.9387,0.628,4OjuzM3rTWp3q60mEldNSF,0.741,0.488,8,-8.253,1,0.362,0.000235,0.0,0.0488,0.625,160.018,181081
18,82,tuesday,ilovemakonnen featuring drake,2015,172,328,True,0.056,0.082,-0.8618,0.476,2znzyzlAUc8Z1Ikq9aFOcx,0.77,0.664,0,-5.604,1,0.211,0.215,0.000118,0.105,0.472,140.163,321987
19,81,lay me down,sam smith,2015,100,201,False,0.174,0.119,0.9426,0.502,64GRDrL1efgXclrhVCeuA0,0.468,0.19,4,-11.138,1,0.0373,0.919,0.0,0.107,0.326,125.319,219536
20,80,bang bang,jessie j ariana grande and nicki minaj,2015,164,380,True,0.143,0.077,0.9796,0.568,0puf9yIluy9W0vpMEUoAnN,0.706,0.786,0,-3.417,0,0.0909,0.26,0.0,0.38,0.749,150.035,199387
21,79,coco,ot genasis,2015,84,326,True,0.276,0.106,0.998,0.742,unknown,,,,,,,,,,,,
22,78,the hanging tree,james newton howard featuring jennifer lawrence,2015,57,223,True,0.071,0.146,-0.9201,0.744,416MsJxvxSKY96DCmbJIRs,0.255,0.085,9,-17.969,0,0.0359,0.329,6.83e-05,0.201,0.109,94.26,218507
23,77,habits stay high,tove lo,2015,109,325,False,0.074,0.099,-0.6405,0.665,unknown,,,,,,,,,,,,
24,76,like im gonna lose you,meghan trainor featuring john legend,2015,106,289,True,0.284,0.126,0.9954,0.633,unknown,,,,,,,,,,,,
25,75,marvin gaye,charlie puth featuring meghan trainor,2015,102,341,True,0.176,0.067,0.991,0.701,6ukMqDxnOPOgoHdak7Kyp3,0.795,0.616,1,-5.281,0,0.06,0.417,0.0,0.349,0.815,110.015,190453
26,74,dear future husband,meghan trainor,2015,154,376,True,0.239,0.088,0.9968,0.59,3cU2wBxuV6nFiuf6PJZNlC,0.655,0.782,1,-4.789,1,0.185,0.375,0.0,0.317,0.832,79.427,184227
27,73,exs  ohs,elle king,2015,109,264,False,0.137,0.047,0.9643,0.587,unknown,,,,,,,,,,,,
28,72,classic man,jidenna featuring roman gianarthur,2015,157,500,True,0.175,0.058,0.9914,0.686,3G7XYAwtxtoGK7fAm4IlD9,0.79,0.585,8,-6.058,1,0.0348,0.185,0.0,0.292,0.585,94.072,226000
29,85,house party,sam hunt,2015,105,335,True,0.148,0.108,0.9366,0.687,1TwLKNsCnhi1HxbIi4bAW0,0.747,0.861,8,-5.251,1,0.0514,0.113,0.0,0.026,0.859,103.966,190240
30,70,no type,rae sremmurd,2015,140,436,True,0.146,0.127,-0.4671,0.679,4scpF6J5uMBvoh6sFB7EL1,0.888,0.483,6,-7.797,1,0.154,0.013,4.85e-06,0.0926,0.226,125.008,200080
31,69,all eyes on you,meek mill featuring chris brown and nicki minaj,2015,151,425,True,0.13,0.108,0.9337,0.645,0hy1SOTEn9ifXTzOwnCwEr,0.589,0.658,11,-5.288,0,0.203,0.0242,0.0,0.118,0.251,77.521,223973
32,68,chains,nick jonas,2015,68,323,True,0.213,0.07,0.9952,0.789,5Eg4TsPcqNbIjd8ADMZosg,0.589,0.611,0,-5.881,0,0.0459,0.0151,0.0,0.0757,0.121,76.006,203107
33,67,one last time,ariana grande,2015,95,390,True,0.076,0.164,-0.9854,0.756,7xoUc6faLbCqZO6fQEYprd,0.628,0.593,8,-5.036,1,0.0323,0.093,1.65e-06,0.096,0.104,125.026,197267
34,66,truffle butter,nicki minaj featuring drake and lil wayne,2015,245,490,True,0.105,0.113,-0.8167,0.5,3keUgTGEoZJt0QkzTB6kHg,0.896,0.672,10,-6.875,0,0.0479,0.0525,3.14e-05,0.12,0.523,105.098,219227
35,65,drag me down,one direction,2015,97,386,True,0.104,0.123,0.4732,0.749,2K87XMYnUMqLcX3zvtAF4G,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,192120
36,64,slow motion,trey songz,2015,91,281,True,0.042,0.0,0.8885,0.676,4NYwy0R3NdvORX2B6OZXBT,0.733,0.408,7,-7.834,0,0.0388,0.679,3.92e-05,0.11,0.291,94.947,197854
37,63,girl crush,little big town,2015,102,229,True,0.222,0.143,0.8919,0.555,11qh54D0PKkBwelpDxxiEU,0.5,0.225,0,-10.22,1,0.0302,0.842,0.0,0.112,0.355,173.788,193320
38,62,the heart wants what it wants,selena gomez,2015,166,360,True,0.139,0.158,-0.8328,0.539,2dRvMEW4EwySxRUtEamSfG,0.616,0.789,7,-4.874,0,0.0377,0.053,0.0,0.142,0.621,83.066,227360
39,61,711,beyonce,2015,100,570,False,0.076,0.032,0.9697,0.825,unknown,,,,,,,,,,,,
40,71,riptide,vance joy,2015,106,341,True,0.13,0.038,0.9878,0.689,3JvrhDOgAt6p7K8mDyZwRd,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,204280
41,59,you know you like it,dj snake and alunageorge,2015,91,291,True,0.146,0.218,-0.986,0.687,57kR5SniQIbsbVoIjjOUDa,0.426,0.722,5,-5.369,0,0.196,0.0113,1.27e-06,0.262,0.25,196.133,247267
42,58,stay with me,sam smith,2015,89,194,True,0.224,0.118,0.9888,0.541,5Nm9ERjJZ5oyfXZTECKmRt,0.418,0.42,0,-6.444,1,0.0414,0.588,6.39e-05,0.11,0.184,84.094,172724
43,57,wildest dreams,taylor swift,2015,140,384,True,0.168,0.074,0.9924,0.635,59HjlYCeBsxdI0fcm3zglw,0.553,0.664,8,-7.417,1,0.0741,0.0709,0.0056,0.106,0.467,140.06,220440
44,56,love me harder,ariana grande and the weeknd,2015,94,393,True,0.33,0.03,0.9995,0.761,5J4ZkQpzMUFojo1CtAZYpn,0.472,0.714,1,-4.389,0,0.0334,0.00937,0.0,0.0764,0.24,98.992,236133
45,55,i dont mind,usher featuring juicy j,2015,206,662,True,0.105,0.057,0.9852,0.689,unknown,,,,,,,,,,,,
46,54,renegades,x ambassadors,2015,59,138,True,0.146,0.063,0.8658,0.572,0fYVliAYKHuPmECRs1pbRf,0.526,0.862,2,-6.003,1,0.0905,0.0144,0.0597,0.229,0.528,90.052,195200
