Rank,Song,Artist,Year,UnprunedLyricalComplexity,TotalWords,TitleInLyrics,posSent,negSent,compoundSent,repetitiveness
1,wooly bully,sam the sham and the pharaohs,1965,64,125,True,0.02,0.352,-0.9946,0.488
2,i cant help myself sugar pie honey bunch,four tops,1965,94,204,False,0.137,0.159,0.2624,0.539
3,i cant get no satisfaction,the rolling stones,1965,,,,,,,
4,you were on my mind,we five,1965,44,152,True,0.061,0.186,-0.9607,0.711
5,youve lost that lovin feelin,the righteous brothers,1965,88,232,False,0.266,0.085,0.9958,0.621
6,downtown,petula clark,1965,120,239,True,0.165,0.133,0.9249,0.498
7,help,the beatles,1965,76,228,True,0.26,0.072,0.9937,0.667
8,cant you hear my heart beat,hermans hermits,1965,72,215,False,0.15,0.0,0.9885,0.665
9,crying in the chapel,elvis presley,1965,79,148,True,0.289,0.077,0.9911,0.466
10,my girl,the temptations,1965,61,153,True,0.133,0.013,0.95,0.601
11,help me rhonda,the beach boys,1965,65,299,True,0.526,0.009,0.9997,0.783
12,king of the road,roger miller,1965,85,169,True,0.008,0.189,-0.9817,0.497
13,the birds and the bees,jewel akens,1965,57,204,True,0.098,0.0,0.9643,0.721
14,hold me thrill me kiss me,mel carter,1965,73,241,False,0.29,0.075,0.997,0.697
15,shotgun,junior walker  the all stars,1965,51,134,True,0.017,0.17,-0.9559,0.619
16,i got you babe,sonny  cher,1965,94,222,True,0.147,0.051,0.9617,0.577
17,this diamond ring,gary lewis  the playboys,1965,64,170,True,0.359,0.0,0.9975,0.624
18,the in crowd,ramsey lewis trio,1965,1,1,False,0.0,0.0,0.0,0.0
19,mrs brown youve got a lovely daughter,hermans hermits,1965,85,198,True,0.225,0.105,0.9786,0.571
20,stop in the name of love,the supremes,1965,85,233,True,0.274,0.116,0.9963,0.635
21,unchained melody,the righteous brothers,1965,79,176,True,0.235,0.08,0.9894,0.551
22,silhouettes,hermans hermits,1965,100,155,True,0.136,0.077,0.8829,0.355
23,ill never find another you,the seekers,1965,85,166,True,0.137,0.161,-0.3818,0.488
24,cara mia,jay and the americans,1965,30,148,True,0.148,0.317,-0.9761,0.797
25,mr tambourine man,the byrds,1965,70,138,True,0.139,0.054,0.865,0.493
26,cast your fate to the wind,sounds orchestral,1965,37,85,False,0.091,0.022,0.765,0.565
27,yes im ready,barbara mason,1965,43,184,True,0.584,0.0,0.9996,0.766
28,whats new pussycat,tom jones,1965,56,137,True,0.279,0.017,0.9919,0.591
29,eve of destruction,barry mcguire,1965,144,291,True,0.097,0.22,-0.9929,0.505
30,hang on sloopy,the mccoys,1965,46,154,True,0.247,0.088,0.9821,0.701
31,ticket to ride,the beatles,1965,59,273,True,0.043,0.181,-0.9919,0.784
32,red roses for a blue lady,bert kaempfert,1965,52,139,True,0.228,0.053,0.9735,0.626
33,papas got a brand new bag,james brown,1965,62,113,True,0.17,0.06,0.8972,0.451
34,game of love,wayne fontana  the mindbenders,1965,47,260,True,0.373,0.0,0.9992,0.819
35,the name game,shirley ellis,1965,108,287,True,0.086,0.038,0.9089,0.624
36,i know a place,petula clark,1965,107,280,True,0.124,0.056,0.9607,0.618
37,back in my arms again,the supremes,1965,115,235,True,0.359,0.04,0.9988,0.511
38,baby im yours,barbara lewis,1965,66,144,True,0.044,0.092,-0.7579,0.542
39,the jolly green giant,the kingsmen,1965,124,217,True,0.124,0.05,0.9117,0.429
40,hush hush sweet charlotte,patti page,1965,69,134,True,0.341,0.11,0.9912,0.485
41,like a rolling stone,bob dylan,1965,181,391,True,0.1,0.09,0.7919,0.537
42,im telling you now,freddie and the dreamers,1965,,,,,,,
43,ferry cross the mersey,gerry and the pacemakers,1965,64,123,True,0.162,0.11,0.8625,0.48
44,just once in my life,the righteous brothers,1965,104,271,True,0.144,0.07,0.9631,0.616
45,the seventh son,johnny rivers,1965,,,,,,,
46,im henery the eighth i am,hermans hermits,1965,,,,,,,
47,a walk in the black forest,horst jankowski,1965,112,161,False,0.244,0.025,0.9912,0.304
48,for your love,the yardbirds,1965,47,160,True,0.491,0.0,0.999,0.706
49,california girls,the beach boys,1965,80,180,True,0.231,0.0,0.9906,0.556
50,go now,the moody blues,1965,53,178,True,0.153,0.056,0.9723,0.702
51,goldfinger,shirley bassey,1965,58,134,True,0.219,0.172,0.889,0.567
52,down in the boondocks,billy joe royal,1965,97,275,True,0.183,0.085,0.9876,0.647
53,baby the rain must fall,glenn yarbrough,1965,42,92,True,0.0,0.074,-0.7741,0.543
54,catch us if you can,the dave clark five,1965,36,137,True,0.041,0.039,0.0679,0.737
55,eight days a week,the beatles,1965,45,205,True,0.481,0.0,0.9994,0.78
56,just a little,the beau brummels,1965,67,153,True,0.191,0.301,-0.9767,0.562
57,you turn me on,ian whitcomb,1965,36,142,True,0.015,0.033,-0.3818,0.746
58,ill be doggone,marvin gaye,1965,100,297,True,0.074,0.121,-0.8972,0.663
59,save your heart for me,gary lewis  the playboys,1965,76,136,True,0.289,0.015,0.9943,0.441
60,tired of waiting for you,the kinks,1965,35,168,True,0.096,0.314,-0.9942,0.792
61,count me in,gary lewis  the playboys,1965,53,165,True,0.114,0.055,0.8689,0.679
62,all day and all of the night,the kinks,1965,41,193,True,0.082,0.013,0.8481,0.788
63,what the world needs now is love,jackie deshannon,1965,61,204,True,0.446,0.023,0.9993,0.701
64,its not unusual,tom jones,1965,66,142,True,0.195,0.114,0.9215,0.535
65,shes about a mover,sir douglas quintet,1965,47,192,True,0.254,0.0,0.9928,0.755
66,shake,sam cooke,1965,96,263,True,0.104,0.169,-0.8053,0.635
67,wonderful world,hermans hermits,1965,74,308,True,0.227,0.0,0.9978,0.76
68,nowhere to run,martha and the vandellas,1965,94,260,True,0.132,0.189,-0.9729,0.638
69,heart full of soul,the yardbirds,1965,62,153,True,0.112,0.097,-0.1533,0.595
70,love potion no 9,the searchers,1965,97,214,True,0.182,0.122,0.9636,0.547
71,laurie strange things happen,dickey lee,1965,99,176,True,0.078,0.118,-0.6591,0.438
72,baby dont go,sonny  cher,1965,73,159,True,0.182,0.148,0.5033,0.541
73,it aint me babe,the turtles,1965,72,187,True,0.261,0.064,0.988,0.615
74,tell her no,the zombies,1965,49,179,True,0.168,0.462,-0.9918,0.726
75,i go to pieces,peter and gordon,1965,97,217,True,0.125,0.17,-0.8686,0.553
